case,current_density_A_cm2,target_voltage_V,model_voltage_V,residual_V
tensao_298K,0.7229344978165939,0.6729611307420494,0.6721855787805486,-0.0007755519615008089
tensao_298K,0.7328296943231442,0.6688727915194347,0.6680552665600139,-0.000817524959420779
tensao_298K,0.7427248908296944,0.66486925795053,0.663881989094939,-0.0009872688555909725
tensao_298K,0.7526200873362446,0.6608657243816254,0.6596642608401895,-0.0012014635414359098
tensao_298K,0.7625152838427949,0.6558021201413426,0.6554005599231806,-0.000401560218162067
tensao_298K,0.772410480349345,0.6517985865724383,0.6510893267402679,-0.0007092598321704058
tensao_298K,0.7823056768558952,0.6477950530035335,0.6467289625319133,-0.0010660904716202069
tensao_298K,0.7922008733624455,0.643791519434629,0.6423178279345667,-0.0014736915000622686
tensao_298K,0.8020960698689957,0.6387279151943462,0.6378542415072695,-0.0008736736870766926
tensao_298K,0.811991266375546,0.6347243816254416,0.6333364782310326,-0.0013879033944090846
tensao_298K,0.8218864628820961,0.629660777385159,0.6287627679790824,-0.0008980094060766497
tensao_298K,0.8317816593886463,0.6251660777385158,0.624131293956105,-0.001034783782410842
tensao_298K,0.8416768558951966,0.6205936395759717,0.6194401911046403,-0.0011534484713313642
tensao_298K,0.8515720524017468,0.6155300353356891,0.6146875444768002,-0.000842490858888878
tensao_298K,0.8614672489082971,0.6104664310954063,0.6098713875694962,-0.0005950435259101106
tensao_298K,0.8713624454148472,0.6058586572438163,0.6049897006213737,-0.0008689566224425738
tensao_298K,0.8812576419213974,0.600339222614841,0.6000404088696469,-0.0002988137451940265
tensao_298K,0.8911528384279477,0.5962049469964664,0.5950213807650309,-0.0011835662314355622
tensao_298K,0.901048034934498,0.5903180212014133,0.5899304261429598,-0.00038759505845353814
tensao_298K,0.9109432314410482,0.5844310954063603,0.5847652943492698,0.000334198942909536
tensao_298K,0.9208384279475984,0.5796042402826854,0.5795236723185077,-8.056796417776901e-05
tensao_298K,0.9307336244541484,0.5739611307420495,0.5742031826030146,0.0002420518609651534
tensao_298K,0.9406288209606988,0.5688904593639575,0.568801381350905,-8.907801305257923e-05
tensao_298K,0.950524017467249,0.5625441696113074,0.5633157562310452,0.0007715866197378629
tensao_298K,0.9604192139737991,0.5561837455830388,0.5577437243030956,0.0015599787200567539
tensao_298K,0.9703144104803494,0.5501696113074205,0.5520826298306636,0.001913018523243104
tensao_298K,0.9802096069868996,0.5442826855123674,0.5463297420355692,0.0020470565232018068
tensao_298K,0.99010480349345,0.5382791519434629,0.5404822527911932,0.0022031008477303438
tensao_298K,1.0,0.5325088339222614,0.5345372742528419,0.002028440330580472
tensao_373K,0.0104803493449781,1.0109540636042404,1.0154967520441889,0.004542688439948428
tensao_373K,0.0203755458515283,1.0010636042402827,0.9950665202363593,-0.005997084003923403
tensao_373K,0.0302707423580786,0.9879929328621908,0.9820426815311093,-0.005950251331081513
tensao_373K,0.0401659388646288,0.975272084805654,0.9721262836086908,-0.0031458011969631716
tensao_373K,0.050061135371179,0.9639717314487634,0.963928201227297,-4.353022146630359e-05
tensao_373K,0.0599563318777292,0.9551413427561838,0.9568210144437751,0.001679671687591311
tensao_373K,0.0698515283842794,0.94913074204947,0.9504672253177733,0.001336483268303268
tensao_373K,0.0797467248908297,0.9437067137809187,0.9446642002202896,0.0009574864393708804
tensao_373K,0.0896419213973799,0.938643109540636,0.9392806465960283,0.0006375370553922677
tensao_373K,0.0995371179039301,0.9335901060070672,0.9342265784670942,0.000636472460027071
tensao_373K,0.1094323144104803,0.9293286219081272,0.929437591566127,0.00010896965799989111
tensao_373K,0.1193275109170305,0.9250883392226148,0.9248659740255336,-0.00022236519708118685
tensao_373K,0.1292227074235807,0.9208480565371026,0.920475370399374,-0.00037268613772856174
tensao_373K,0.139117903930131,0.9166077738515902,0.916237419997006,-0.00037035385458417114
tensao_373K,0.1490131004366812,0.9126360424028268,0.9121295529796407,-0.0005064894231860961
tensao_373K,0.1589082969432314,0.90886925795053,0.908133496386604,-0.0007357615639259629
tensao_373K,0.1688034934497816,0.9051024734982333,0.9042342321711616,-0.0008682413270716394
tensao_373K,0.1786986899563318,0.9013356890459364,0.9004192524313658,-0.0009164366145706371
tensao_373K,0.188593886462882,0.8975265017667845,0.8966780155556409,-0.0008484862111436398
tensao_373K,0.1984890829694323,0.8932862190812721,0.8930015415350178,-0.000284677546254386
tensao_373K,0.2083842794759825,0.8895406360424029,0.8893821057585943,-0.0001585302838085223
tensao_373K,0.2182794759825327,0.8865971731448764,0.8858130038411353,-0.0007841693037411446
