case,current_density_A_cm2,current_A,E_nernst_V,V_act_V,V_ohm_V,V_conc_V,V_cell_V,V_stack_V,P_stack_W,efficiency_percent,temperature_K,air_pressure_atm
T_373,0.058333333333333334,13.533333333333333,1.1638484646298433,0.1859660245580282,0.011159006959081544,0.008821915796232208,0.9579015173165013,39.27396220997655,531.5076219083494,54.25916573134981,373.15,5.0
T_373,0.0625,14.5,1.1638484646298433,0.18785584157082813,0.011956078884730225,0.008931042327643074,0.9551055018466418,39.159325575712316,567.8102208478285,54.10078883766712,373.15,5.0
T_373,0.06666666666666667,15.466666666666667,1.1638484646298433,0.18962364732522108,0.012753150810378906,0.009041518747233883,0.9524301477470094,39.04963605762739,603.9677043579703,53.949246660462244,373.15,5.0
T_373,0.07083333333333333,16.433333333333334,1.1638484646298433,0.19128424557593932,0.013550222736027588,0.00915336175303466,0.9498606345648417,38.94428601715851,639.9844335486382,53.803699713224184,373.15,5.0
T_373,0.075,17.4,1.1638484646298433,0.19284989925249085,0.01434729466167627,0.00926658824962899,0.9473846824660471,38.84277198110793,675.8642324712779,53.66345241969474,373.15,5.0
T_373,0.07916666666666666,18.366666666666667,1.1638484646298433,0.19433088058272452,0.01514436658732495,0.009381215350709075,0.9449920021090846,38.74467208647247,711.6104773215444,53.527921952643936,373.15,5.0
T_373,0.08333333333333333,19.333333333333332,1.1638484646298433,0.19573587994406405,0.01594143851297363,0.009497260381662386,0.9426738857911432,38.64962931743687,747.2261668037794,53.396615074842884,373.15,5.0
T_373,0.0875,20.299999999999997,1.1638484646298433,0.19707231485853388,0.016738510438622314,0.009614740882190323,0.9404228984504969,38.55733883647037,782.7139783803484,53.269110636268174,373.15,5.0
T_373,0.09166666666666666,21.266666666666666,1.1638484646298433,0.19834656703977793,0.017535582364270996,0.009733674608959264,0.9382326406168351,38.46753826529024,818.0763137751724,53.14504614671191,373.15,5.0
T_373,0.09583333333333333,22.23333333333333,1.1638484646298433,0.19956416670398663,0.018332654289919675,0.009854079538284414,0.9360975640976524,38.38000012800375,853.3153361792832,53.02410733556149,373.15,5.0
T_373,0.1,23.200000000000003,1.1638484646298433,0.20072993762572683,0.01912972621556836,0.009975973868846834,0.9340128269197012,38.29452590370775,888.4330009660199,52.906019935134715,373.15,5.0
T_373,0.10416666666666667,24.166666666666668,1.1638484646298433,0.20184811256290702,0.019926798141217044,0.01009937602444411,0.9319741779012751,38.21094129395228,923.4310812705135,52.79054314241733,373.15,5.0
T_373,0.10833333333333334,25.133333333333333,1.1638484646298433,0.20292242602999083,0.020723870066865723,0.010224304656775011,0.9299778638762116,38.12909241892468,958.3111894623069,52.677464363879444,373.15,5.0
T_373,0.1125,26.1,1.1638484646298433,0.20395618955299655,0.021520941992514406,0.010350778648258625,0.9280205544360737,38.04884273187902,993.0747953020425,52.566594952588076,373.15,5.0
T_373,0.11666666666666667,27.066666666666666,1.1638484646298433,0.20495235323176986,0.02231801391816309,0.010478817114888352,0.9260992803650219,37.970070494965896,1027.723241397077,52.45776672092541,373.15,5.0
T_373,0.12083333333333333,28.033333333333335,1.1638484646298433,0.20591355649453708,0.023115085843811767,0.010608439409121198,0.9242113828823733,37.8926666981773,1062.2577564389037,52.35082906549524,373.15,5.0
